layer,head,selected_pair_count,selected_pairs,rows_emitted
0,0,2,39;33,2
0,1,4,39;38;33;44,4
0,2,4,39;41;38;36,4
0,3,4,39;41;40;47,4
0,4,3,39;41;38,3
0,5,4,40;38;39;41,4
0,6,1,39,1
0,7,3,63;60;54,3
1,0,3,39;42;51,3
1,1,3,39;40;42,3
1,2,1,39,1
1,3,4,40;39;54;43,4
1,4,1,40,1
1,5,4,40;33;50;39,4
1,6,3,40;39;42,3
1,7,4,39;41;33;47,4
2,0,1,40,1
2,1,1,40,1
2,2,2,38;46,2
2,3,1,40,1
2,4,4,38;34;49;48,4
2,5,4,60;54;63;51,4
2,6,1,40,1
2,7,2,39;46,2
3,0,1,40,1
3,1,3,38;47;33,3
3,2,1,41,1
3,3,4,39;52;33;61,4
3,4,2,40;44,2
3,5,2,40;63,2
3,6,4,39;62;53;49,4
3,7,1,40,1
4,0,4,37;42;54;39,4
4,1,2,39;54,2
4,2,2,39;54,2
4,3,2,45;38,2
4,4,2,40;52,2
4,5,1,41,1
4,6,2,39;46,2
4,7,2,40;53,2
5,0,2,42;39,2
5,1,4,38;46;51;48,4
5,2,4,61;37;57;49,4
5,3,2,44;38,2
5,4,4,38;56;34;44,4
5,5,4,39;50;51;52,4
5,6,2,38;58,2
5,7,3,38;53;33,3
6,0,2,44;61,2
6,1,1,42,1
6,2,2,39;45,2
6,3,4,49;38;60;56,4
6,4,1,40,1
6,5,4,38;54;55;33,4
6,6,4,39;52;57;58,4
6,7,4,38;50;48;33,4
7,0,3,43;38;45,3
7,1,2,41;54,2
7,2,2,42;39,2
7,3,2,40;57,2
7,4,3,40;41;63,3
7,5,1,41,1
7,6,4,50;49;37;54,4
7,7,1,41,1
8,0,4,38;52;60;51,4
8,1,4,38;34;60;55,4
8,2,4,59;52;60;39,4
8,3,2,40;54,2
8,4,2,41;59,2
8,5,2,39;59,2
8,6,4,44;38;34;63,4
8,7,4,38;58;54;63,4
9,0,4,46;37;63;59,4
9,1,4,41;53;42;34,4
9,2,1,41,1
9,3,4,40;61;62;33,4
9,4,4,39;60;55;49,4
9,5,4,39;57;62;61,4
9,6,4,61;53;37;59,4
9,7,4,38;63;60;62,4
10,0,4,58;57;36;63,4
10,1,4,49;39;60;50,4
10,2,3,38;56;49,3
10,3,4,58;62;37;52,4
10,4,4,54;63;37;62,4
10,5,2,42;52,2
10,6,4,38;62;34;51,4
10,7,4,58;56;63;37,4
11,0,4,45;56;54;61,4
11,1,4,58;59;37;63,4
11,2,3,46;38;61,3
11,3,4,59;63;36;57,4
11,4,3,57;52;37,3
11,5,4,40;62;58;54,4
11,6,4,40;47;63;49,4
11,7,4,40;55;59;34,4
12,0,4,38;49;44;35,4
12,1,3,45;60;37,3
12,2,1,43,1
12,3,4,38;49;57;33,4
12,4,2,39;62,2
12,5,2,41;57,2
12,6,3,40;60;61,3
12,7,2,41;53,2
13,0,4,51;39;50;62,4
13,1,4,63;59;38;60,4
13,2,4,39;57;60;56,4
13,3,4,38;51;33;54,4
13,4,4,47;61;36;56,4
13,5,4,39;59;63;57,4
13,6,4,47;38;62;54,4
13,7,4,42;38;43;53,4
14,0,4,60;37;62;33,4
14,1,4,52;38;60;56,4
14,2,2,39;53,2
14,3,4,56;38;63;50,4
14,4,4,59;49;39;34,4
14,5,4,39;63;62;57,4
14,6,4,48;37;43;49,4
14,7,4,49;56;63;60,4
15,0,4,39;49;62;60,4
15,1,4,39;48;45;51,4
15,2,4,51;53;61;36,4
15,3,4,39;46;51;34,4
15,4,4,37;63;56;38,4
15,5,4,40;53;61;56,4
15,6,4,39;57;56;33,4
15,7,4,60;53;36;56,4
16,0,4,61;36;62;57,4
16,1,2,42;52,2
16,2,4,39;34;56;55,4
16,3,1,42,1
16,4,4,40;54;62;34,4
16,5,4,52;37;48;63,4
16,6,4,60;37;49;55,4
16,7,3,39;45;44,3
17,0,4,42;59;50;36,4
17,1,2,39;62,2
17,2,4,45;38;58;61,4
17,3,4,40;62;51;56,4
17,4,3,41;51;57,3
17,5,4,44;61;62;55,4
17,6,4,62;37;58;61,4
17,7,4,40;56;59;54,4
18,0,4,39;49;46;52,4
18,1,4,63;60;56;62,4
18,2,4,55;38;54;33,4
18,3,4,43;60;47;53,4
18,4,4,40;59;56;34,4
18,5,4,58;54;36;62,4
18,6,2,41;53,2
18,7,3,41;48;51,3
19,0,4,63;60;37;46,4
19,1,4,39;54;59;57,4
19,2,2,41;48,2
19,3,4,57;56;35;60,4
19,4,4,37;55;46;41,4
19,5,4,38;62;56;33,4
19,6,4,41;47;56;53,4
19,7,2,48;38,2
20,0,4,46;37;62;50,4
20,1,1,43,1
20,2,4,39;45;46;33,4
20,3,4,51;37;33;55,4
20,4,2,46;58,2
20,5,1,48,1
20,6,4,58;39;52;55,4
20,7,4,38;49;56;33,4
21,0,4,39;48;49;50,4
21,1,3,56;54;38,3
21,2,1,42,1
21,3,4,38;57;59;58,4
21,4,4,40;51;62;49,4
21,5,4,39;62;55;35,4
21,6,4,39;55;34;41,4
21,7,4,39;34;63;56,4
22,0,4,40;57;54;33,4
22,1,2,42;50,2
22,2,4,38;56;53;33,4
22,3,4,58;38;53;34,4
22,4,4,46;38;62;33,4
22,5,2,47;37,2
22,6,2,51;53,2
22,7,4,40;49;51;53,4
23,0,1,47,1
23,1,4,39;56;46;51,4
23,2,3,46;38;49,3
23,3,4,39;53;33;55,4
23,4,1,44,1
23,5,4,63;37;54;33,4
23,6,4,43;51;61;57,4
23,7,3,39;51;61,3
24,0,1,48,1
24,1,1,44,1
24,2,1,45,1
24,3,2,40;63,2
24,4,4,38;61;33;50,4
24,5,4,42;56;36;45,4
24,6,4,39;51;55;34,4
24,7,3,50;38;51,3
25,0,4,62;38;63;50,4
25,1,4,39;35;59;60,4
25,2,2,40;59,2
25,3,4,38;35;61;60,4
25,4,1,42,1
25,5,2,39;63,2
25,6,1,42,1
25,7,1,44,1
26,0,1,43,1
26,1,3,46;55;59,3
26,2,4,59;57;33;37,4
26,3,4,37;61;63;33,4
26,4,3,41;52;55,3
26,5,2,39;45,2
26,6,3,40;59;53,3
26,7,4,43;62;35;52,4
27,0,1,45,1
27,1,4,53;37;33;63,4
27,2,2,40;63,2
27,3,3,40;51;56,3
27,4,2,47;58,2
27,5,4,41;62;48;54,4
27,6,1,42,1
27,7,4,54;38;44;61,4
28,0,3,40;56;62,3
28,1,2,40;61,2
28,2,1,42,1
28,3,4,41;62;56;34,4
28,4,3,39;59;55,3
28,5,2,61;39,2
28,6,3,39;56;33,3
28,7,3,46;38;49,3
29,0,4,45;48;54;60,4
29,1,2,41;57,2
29,2,4,39;63;55;33,4
29,3,1,47,1
29,4,2,49;59,2
29,5,4,46;53;38;62,4
29,6,1,41,1
29,7,1,42,1
30,0,4,61;38;48;33,4
30,1,1,46,1
30,2,3,42;53;63,3
30,3,4,44;47;36;51,4
30,4,4,39;58;33;49,4
30,5,4,39;53;56;60,4
30,6,4,41;59;52;50,4
30,7,4,62;38;63;33,4
31,0,2,40;57,2
31,1,2,41;61,2
31,2,2,40;57,2
31,3,2,43;58,2
31,4,4,39;50;58;62,4
31,5,4,40;62;58;55,4
31,6,2,39;62,2
31,7,2,40;58,2
